--------------------------------------------------------------------------------------------------------------
Script started on Tue, Feb 06, 2018  3:08:55 PM
--------------------------------------------------------------------------------------------------------------$> cygcheck -c && pip3 list format=columns
Cygwin Package Information
Package                                             Version                          Status
libarchive13                                        3.3.2-1                          OK
libargp                                             20110921-3                       OK
libargp-devel                                       20110921-3                       OK
libart_lgpl_2_2                                     2.3.21-2                         OK
libaspell-devel                                     0.60.6.1-1                       OK
libaspell15                                         0.60.6.1-1                       OK
libassuan0                                          2.4.3-1                          OK
libasyncns0                                         0.8-1                            OK
libatk-bridge2.0-devel                              2.24.1-1                         OK
libatk-bridge2.0_0                                  2.24.1-1                         OK
libatk1.0-devel                                     2.24.0-1                         OK
libatk1.0_0                                         2.24.0-1                         OK
libatomic1                                          6.4.0-5                          OK
libatspi-devel                                      2.24.1-1                         OK
libatspi0                                           2.24.1-1                         OK
libattica0.4                                        0.4.2-1                          OK
libattr-devel                                       2.4.46-1                         OK
libattr1                                            2.4.46-1                         OK
libaudio2                                           1.9.3-1                          OK
libautotrace-devel                                  0.31.1-18                        OK
libautotrace3                                       0.31.1-18                        OK
libavahi-client3                                    0.6.32-1                         OK
libavahi-common3                                    0.6.32-1                         OK
libavahi-glib1                                      0.6.32-1                         OK
libavogadro-common                                  1.2.0-2                          OK
libavogadro1                                        1.2.0-2                          OK
libblkid1                                           2.25.2-2                         OK
libbonobo2_0                                        2.32.1-2                         OK
libbonoboui2_0                                      2.24.5-2                         OK
libboost-devel                                      1.64.0-1                         OK
libboost_atomic1.60                                 1.60.0-3                         OK
libboost_atomic1.63                                 1.63.0-1                         OK
libboost_atomic1.64                                 1.64.0-1                         OK
libboost_chrono1.60                                 1.60.0-3                         OK
libboost_chrono1.63                                 1.63.0-1                         OK
libboost_chrono1.64                                 1.64.0-1                         OK
libboost_container1.60                              1.60.0-3                         OK
libboost_container1.63                              1.63.0-1                         OK
libboost_container1.64                              1.64.0-1                         OK
libboost_context1.60                                1.60.0-3                         OK
libboost_context1.63                                1.63.0-1                         OK
libboost_context1.64                                1.64.0-1                         OK
libboost_coroutine1.60                              1.60.0-3                         OK
libboost_coroutine1.63                              1.63.0-1                         OK
libboost_coroutine1.64                              1.64.0-1                         OK
libboost_date_time1.60                              1.60.0-3                         OK
libboost_date_time1.63                              1.63.0-1                         OK
libboost_date_time1.64                              1.64.0-1                         OK
libboost_fiber1.64                                  1.64.0-1                         OK
libboost_filesystem1.60                             1.60.0-3                         OK
libboost_filesystem1.63                             1.63.0-1                         OK
libboost_filesystem1.64                             1.64.0-1                         OK
